time,gFx,gFy,gFz,TgF
22:10:38:202,0.7940,0.0401,-0.0163,0.797
22:10:38:204,0.7720,0.0484,0.0142,0.777
22:10:38:206,0.7483,0.0567,0.0538,0.757
22:10:38:210,0.7310,0.0623,0.0936,0.746
22:10:38:212,0.7148,0.0667,0.1305,0.738
22:10:38:213,0.7024,0.0713,0.1669,0.735
22:10:38:214,0.6863,0.0740,0.1953,0.728
22:10:38:216,0.6682,0.0743,0.2124,0.716
22:10:38:218,0.6601,0.0740,0.2258,0.713
22:10:38:220,0.6491,0.0772,0.2329,0.706
22:10:38:222,0.6293,0.0892,0.2400,0.693
