time,gFx,gFy,gFz,TgF
21:31:46:265,1.0669,0.3337,-0.1341,1.138
21:31:46:267,1.0644,0.3247,-0.1353,1.133
21:31:46:269,1.0786,0.3144,-0.1365,1.143
21:31:46:271,1.0835,0.3015,-0.1324,1.143
21:31:46:277,1.0674,0.2893,-0.1199,1.123
21:31:46:279,1.0552,0.2729,-0.1116,1.105
21:31:46:280,1.0469,0.2519,-0.1043,1.091
21:31:46:282,1.0229,0.2323,-0.0899,1.062
21:31:46:284,1.0117,0.2162,-0.0811,1.046
21:31:46:285,1.0283,0.1901,-0.0767,1.056
21:31:46:286,1.0478,0.1632,-0.0615,1.068
21:31:46:287,1.0510,0.1422,-0.0403,1.067
21:31:46:290,1.0432,0.1244,-0.0263,1.056
21:31:46:292,1.0415,0.1085,-0.0151,1.052
21:31:46:295,1.0444,0.1021,-0.0109,1.054
21:31:46:297,1.0491,0.0928,-0.0053,1.057
